Probanden_ID__lfdn__AppNr,Probanden_ID__lfdn,V2,V4_1_Interview,V4_2_Interview,V4_3_Interview,V4_4_Interview,V6_1_Interview,V6_2_Interview,V6_3_Interview,V6_4_Interview,V12_1_Interview,V12_2_Interview,V12_3_Interview,V12_4_Interview,V17_2_Interview,V17_3_Interview,V17_4_Interview,V18_2_Interview,V18_3_Interview,V18_4_Interview,Group
A03__76__13,A03__76,1.0,2.0,,,,6.0,,,,8.0,,,,,,,,,,1
VG_1__224__13,VG_1__224,1.0,4.0,,,,7.0,,,,4.0,,,,,,,,,,1
CR1__349__13,CR1__349,1.0,5.0,,,,5.0,,,,7.0,,,,,,,,,,1
VG_1__224__14,VG_1__224,1.0,3.0,,,,9.0,,,,8.0,,,,,,,,,,1
CR1__349__14,CR1__349,1.0,6.0,,,,5.0,,,,8.0,,,,,,,,,,1
VG_1__224__15,VG_1__224,1.0,5.0,,,,8.0,,,,8.0,,,,,,,,,,1
CR1__349__15,CR1__349,2.0,5.0,,,,8.0,,,,9.0,,,,,,,,,,1
SL_1__223__16,SL_1__223,1.0,3.0,,,,10.0,,,,9.0,,,,,,,,,,1
VG_1__224__16,VG_1__224,1.0,2.0,,,,9.0,,,,9.0,,,,,,,,,,1
SL_1__223__17,SL_1__223,2.0,3.0,,,,10.0,,,,9.0,,,,,,,,,,1
VG_1__224__17,VG_1__224,1.0,2.0,,,,9.0,,,,9.0,,,,,,,,,,1
