Probanden_ID__lfdn__AppNr,Probanden_ID__lfdn,V2,V4_1_Interview,V4_2_Interview,V4_3_Interview,V4_4_Interview,V6_1_Interview,V6_2_Interview,V6_3_Interview,V6_4_Interview,V12_1_Interview,V12_2_Interview,V12_3_Interview,V12_4_Interview,V17_2_Interview,V17_3_Interview,V17_4_Interview,V18_2_Interview,V18_3_Interview,V18_4_Interview,Group
SS_01__1__1,SS_01__1,2.0,1.0,1.0,1.0,1.0,8.0,7.0,7.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,8.0,8.0,4
JH_02__2__1,JH_02__2,1.0,3.0,3.0,3.0,2.0,6.0,6.0,8.0,8.0,9.0,10.0,8.0,10.0,10.0,10.0,10.0,2.0,3.0,4.0,4
CH_03__3__1,CH_03__3,2.0,1.0,2.0,2.0,2.0,3.0,1.0,5.0,2.0,10.0,8.0,10.0,8.0,10.0,10.0,10.0,10.0,5.0,5.0,4
NR_04__4__1,NR_04__4,2.0,1.0,1.0,1.0,1.0,5.0,8.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,3.0,5.0,4
MD_05__5__1,MD_05__5,1.0,3.0,3.0,3.0,4.0,7.0,6.0,5.0,3.0,8.0,9.0,8.0,8.0,1.0,1.0,5.0,1.0,1.0,1.0,4
BO_06__6__1,BO_06__6,2.0,1.0,1.0,1.0,1.0,8.0,7.0,6.0,9.0,10.0,8.0,10.0,9.0,5.0,10.0,7.0,8.0,8.0,8.0,4
BK_07__7__1,BK_07__7,2.0,1.0,1.0,1.0,1.0,8.0,7.0,9.0,8.0,10.0,10.0,10.0,10.0,5.0,10.0,10.0,10.0,10.0,1.0,4
JL_08__8__1,JL_08__8,1.0,2.0,3.0,3.0,4.0,10.0,9.0,8.0,8.0,10.0,10.0,9.0,8.0,8.0,1.0,1.0,3.0,2.0,1.0,4
NS_09__9__1,NS_09__9,1.0,1.0,1.0,1.0,1.0,2.0,5.0,4.0,8.0,8.0,8.0,8.0,8.0,1.0,5.0,10.0,1.0,1.0,1.0,4
NH_10__10__1,NH_10__10,2.0,1.0,1.0,1.0,1.0,5.0,6.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,10.0,7.0,9.0,9.0,4
KH_11__11__1,KH_11__11,2.0,1.0,1.0,1.0,1.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,8.0,8.0,8.0,4
SK_12__12__1,SK_12__12,2.0,1.0,1.0,1.0,1.0,2.0,5.0,8.0,8.0,5.0,7.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,4
ML_13__13__1,ML_13__13,2.0,1.0,1.0,1.0,2.0,6.0,10.0,7.0,7.0,8.0,8.0,8.0,7.0,10.0,9.0,9.0,4.0,5.0,7.0,4
MW_14__14__1,MW_14__14,2.0,2.0,6.0,3.0,4.0,7.0,3.0,4.0,4.0,10.0,8.0,7.0,8.0,7.0,8.0,4.0,10.0,10.0,10.0,4
MF_15__15__1,MF_15__15,1.0,4.0,5.0,4.0,5.0,1.0,2.0,3.0,6.0,5.0,6.0,6.0,7.0,1.0,1.0,1.0,1.0,2.0,1.0,4
SB_16__16__1,SB_16__16,1.0,4.0,4.0,3.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,3.0,4.0,5.0,2.0,7.0,4
SJ_17__17__1,SJ_17__17,1.0,5.0,5.0,7.0,5.0,3.0,5.0,1.0,5.0,7.0,7.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,4
BK_18__18__1,BK_18__18,1.0,4.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,2.0,2.0,1.0,1.0,1.0,4
FK_19__19__1,FK_19__19,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,5.0,4
LF_20__20__1,LF_20__20,2.0,2.0,1.0,2.0,2.0,4.0,4.0,3.0,3.0,8.0,7.0,8.0,5.0,9.0,6.0,7.0,2.0,3.0,2.0,4
