Probanden_ID__lfdn__AppNr,Probanden_ID__lfdn,V2,V4_1_Interview,V4_2_Interview,V4_3_Interview,V4_4_Interview,V6_1_Interview,V6_2_Interview,V6_3_Interview,V6_4_Interview,V12_1_Interview,V12_2_Interview,V12_3_Interview,V12_4_Interview,V17_2_Interview,V17_3_Interview,V17_4_Interview,V18_2_Interview,V18_3_Interview,V18_4_Interview,Group
AF_21__21__1,AF_21__21,2.0,1.0,1.0,1.0,1.0,9.0,7.0,9.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,4.0,6.0,8.0,4
HL_1__34__1,HL_1__34,2.0,4.0,3.0,3.0,5.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,5.0,10.0,10.0,6.0,4
HL_2__35__1,HL_2__35,1.0,2.0,1.0,1.0,3.0,10.0,10.0,10.0,7.0,9.0,9.0,9.0,7.0,9.0,9.0,9.0,9.0,9.0,7.0,4
HL_3__36__1,HL_3__36,2.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,6.0,6.0,6.0,4
HL_4__37__1,HL_4__37,1.0,1.0,1.0,1.0,1.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,4
HL_5__38__1,HL_5__38,1.0,1.0,1.0,1.0,1.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,4
HL_6__39__1,HL_6__39,1.0,1.0,2.0,2.0,3.0,9.0,8.0,8.0,8.0,7.0,9.0,9.0,9.0,10.0,10.0,9.0,8.0,8.0,8.0,4
HL_7__40__1,HL_7__40,2.0,2.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,7.0,7.0,4
HL_8__41__1,HL_8__41,1.0,1.0,1.0,1.0,1.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,4
HL_9__42__1,HL_9__42,2.0,1.0,1.0,1.0,1.0,9.0,7.0,7.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,8.0,4
HL_10__43__1,HL_10__43,2.0,1.0,1.0,1.0,1.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,4
HL_11__44__1,HL_11__44,1.0,3.0,2.0,2.0,2.0,9.0,8.0,8.0,8.0,10.0,8.0,8.0,8.0,9.0,9.0,9.0,6.0,6.0,6.0,4
HL_12__45__1,HL_12__45,1.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,4
HL_13__46__1,HL_13__46,2.0,1.0,1.0,1.0,1.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,4
HL_14__47__1,HL_14__47,2.0,1.0,1.0,1.0,1.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,8.0,4
HL_15__48__1,HL_15__48,2.0,1.0,1.0,1.0,1.0,7.0,8.0,8.0,8.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,5.0,5.0,5.0,4
P1__79__1,P1__79,1.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,5.0,4
P2__80__1,P2__80,1.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3.0,3.0,3.0,4
P4__82__1,P4__82,1.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,8.0,8.0,8.0,8.0,10.0,10.0,10.0,5.0,5.0,5.0,4
P5__83__1,P5__83,1.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,5.0,5.0,5.0,4
KR__84__1,KR__84,2.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,5.0,8.0,4.0,4.0,5.0,9.0,9.0,8.0,8.0,8.0,7.0,4
DR__85__1,DR__85,2.0,1.0,1.0,1.0,2.0,8.0,6.0,7.0,6.0,8.0,7.0,7.0,7.0,6.0,8.0,9.0,9.0,9.0,9.0,4
KRS__86__1,KRS__86,1.0,1.0,1.0,2.0,1.0,8.0,5.0,5.0,7.0,8.0,8.0,7.0,8.0,1.0,1.0,1.0,1.0,1.0,2.0,4
TK__87__1,TK__87,1.0,6.0,5.0,4.0,5.0,3.0,6.0,7.0,5.0,8.0,7.0,8.0,7.0,3.0,2.0,4.0,1.0,3.0,4.0,4
KH__88__1,KH__88,2.0,1.0,1.0,1.0,1.0,10.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,10.0,10.0,8.0,9.0,10.0,9.0,4
SR1807__95__1,SR1807__95,1.0,4.0,4.0,3.0,3.0,1.0,6.0,7.0,5.0,8.0,9.0,8.0,10.0,1.0,3.0,5.0,5.0,7.0,8.0,4
FT2311__96__1,FT2311__96,2.0,1.0,1.0,1.0,1.0,10.0,10.0,7.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,10.0,4
JL2803__98__1,JL2803__98,1.0,4.0,4.0,3.0,3.0,8.0,8.0,9.0,6.0,8.0,8.0,9.0,9.0,7.0,8.0,9.0,8.0,1.0,5.0,4
LK_1__99__1,LK_1__99,1.0,1.0,1.0,1.0,1.0,7.0,8.0,7.0,7.0,10.0,10.0,10.0,9.0,8.0,9.0,10.0,3.0,4.0,5.0,4
JK_2__100__1,JK_2__100,2.0,1.0,1.0,1.0,1.0,7.0,8.0,7.0,8.0,7.0,7.0,7.0,8.0,10.0,10.0,10.0,9.0,9.0,8.0,4
SK_3__101__1,SK_3__101,2.0,1.0,1.0,1.0,1.0,5.0,6.0,5.0,6.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,7.0,4
SZ_4__102__1,SZ_4__102,2.0,1.0,1.0,1.0,1.0,8.0,7.0,7.0,8.0,8.0,9.0,9.0,8.0,10.0,10.0,10.0,8.0,8.0,8.0,4
RP_5__103__1,RP_5__103,2.0,2.0,1.0,1.0,1.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,4
1__104__1,1__104,1.0,1.0,1.0,2.0,2.0,6.0,6.0,3.0,3.0,8.0,8.0,9.0,9.0,10.0,1.0,1.0,1.0,1.0,1.0,4
3__106__1,3__106,1.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,8.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,4
4__107__1,4__107,2.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,4
5__108__1,5__108,2.0,1.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,4.0,9.0,9.0,9.0,10.0,10.0,10.0,5.0,5.0,5.0,4
JL25__109__1,JL25__109,1.0,1.0,1.0,1.0,1.0,8.0,5.0,5.0,10.0,7.0,8.0,7.0,8.0,10.0,10.0,10.0,1.0,1.0,1.0,4
NW25__110__1,NW25__110,2.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,6.0,3.0,4.0,5.0,4.0,5.0,5.0,4
KR26__111__1,KR26__111,2.0,1.0,1.0,1.0,1.0,10.0,8.0,7.0,7.0,8.0,8.0,10.0,10.0,10.0,8.0,9.0,2.0,8.0,8.0,4
AH28__112__1,AH28__112,1.0,1.0,1.0,1.0,1.0,9.0,10.0,9.0,10.0,8.0,7.0,10.0,10.0,10.0,10.0,10.0,3.0,6.0,5.0,4
OP64__113__1,OP64__113,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,8.0,8.0,9.0,9.0,5.0,5.0,5.0,4
MN__114__1,MN__114,1.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,3.0,3.0,4
MG__116__1,MG__116,2.0,1.0,1.0,1.0,1.0,5.0,5.0,9.0,7.0,9.0,9.0,5.0,7.0,1.0,1.0,6.0,5.0,9.0,5.0,4
JG__118__1,JG__118,2.0,1.0,1.0,1.0,1.0,10.0,2.0,7.0,6.0,8.0,8.0,10.0,9.0,10.0,9.0,9.0,8.0,9.0,8.0,4
MS__119__1,MS__119,1.0,5.0,4.0,6.0,6.0,10.0,8.0,7.0,8.0,8.0,8.0,8.0,7.0,3.0,2.0,2.0,2.0,1.0,1.0,4
AS__120__1,AS__120,1.0,1.0,1.0,1.0,1.0,7.0,8.0,10.0,9.0,10.0,9.0,10.0,8.0,10.0,5.0,6.0,1.0,10.0,10.0,4
TY__121__1,TY__121,2.0,1.0,1.0,1.0,1.0,3.0,8.0,7.0,7.0,8.0,10.0,10.0,10.0,10.0,8.0,8.0,1.0,10.0,10.0,4
IS__122__1,IS__122,1.0,3.0,3.0,3.0,3.0,8.0,9.0,8.0,7.0,10.0,8.0,10.0,10.0,3.0,3.0,3.0,1.0,7.0,7.0,4
IS Ba__123__1,IS Ba__123,1.0,4.0,6.0,5.0,5.0,4.0,5.0,6.0,5.0,10.0,8.0,7.0,8.0,1.0,1.0,1.0,2.0,2.0,2.0,4
65KH__124__1,65KH__124,1.0,3.0,3.0,3.0,3.0,5.0,8.0,8.0,5.0,8.0,8.0,7.0,8.0,8.0,7.0,9.0,1.0,7.0,5.0,4
62CM__125__1,62CM__125,1.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,2.0,9.0,8.0,10.0,8.0,10.0,10.0,8.0,10.0,8.0,3.0,4
97KH__126__1,97KH__126,1.0,4.0,5.0,4.0,4.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,2.0,2.0,2.0,1.0,1.0,2.0,4
90MA__127__1,90MA__127,1.0,3.0,3.0,3.0,3.0,8.0,8.0,4.0,4.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,4
92VW__128__1,92VW__128,1.0,1.0,1.0,1.0,1.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,3.0,7.0,8.0,10.0,10.0,4
1__129__1,1__129,2.0,1.0,1.0,1.0,3.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,6.0,6.0,4
2__130__1,2__130,2.0,5.0,3.0,2.0,2.0,5.0,4.0,6.0,6.0,5.0,6.0,7.0,8.0,3.0,3.0,3.0,2.0,1.0,1.0,4
3__131__1,3__131,2.0,5.0,4.0,3.0,6.0,5.0,10.0,8.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,1.0,1.0,4
4__132__1,4__132,1.0,5.0,6.0,4.0,4.0,2.0,1.0,1.0,2.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,4
WM_1__134__1,WM_1__134,1.0,1.0,1.0,1.0,1.0,3.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,10.0,10.0,10.0,6.0,6.0,6.0,4
SiSc_2__135__1,SiSc_2__135,1.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,7.0,9.0,9.0,9.0,10.0,10.0,10.0,1.0,1.0,1.0,4
LM_4__137__1,LM_4__137,2.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,10.0,10.0,10.0,10.0,8.0,7.0,7.0,6.0,8.0,8.0,4
ST_5__138__1,ST_5__138,2.0,1.0,1.0,1.0,1.0,8.0,6.0,6.0,6.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,6.0,6.0,6.0,4
P 4__147__1,P 4__147,1.0,3.0,4.0,5.0,6.0,2.0,1.0,2.0,2.0,7.0,10.0,10.0,10.0,8.0,1.0,1.0,1.0,1.0,1.0,4
P 5__148__1,P 5__148,1.0,4.0,3.0,4.0,6.0,8.0,10.0,8.0,10.0,10.0,8.0,10.0,10.0,6.0,5.0,6.0,4.0,7.0,10.0,4
1__154__1,1__154,2.0,1.0,1.0,1.0,1.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,10.0,10.0,10.0,4
2__155__1,2__155,2.0,1.0,1.0,1.0,1.0,5.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,10.0,10.0,10.0,8.0,8.0,8.0,4
3__156__1,3__156,2.0,4.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,1.0,1.0,1.0,10.0,10.0,10.0,4
4__157__1,4__157,1.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,9.0,8.0,8.0,8.0,10.0,10.0,10.0,5.0,5.0,5.0,4
5__158__1,5__158,2.0,1.0,1.0,1.0,1.0,5.0,5.0,6.0,6.0,8.0,9.0,9.0,9.0,8.0,8.0,8.0,10.0,10.0,10.0,4
KK_1__169__1,KK_1__169,2.0,1.0,2.0,2.0,2.0,7.0,8.0,6.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,2.0,2.0,4
MM_1__171__1,MM_1__171,2.0,3.0,5.0,6.0,6.0,10.0,6.0,7.0,7.0,7.0,9.0,9.0,9.0,5.0,6.0,6.0,1.0,2.0,2.0,4
LH_1__172__1,LH_1__172,2.0,1.0,1.0,1.0,1.0,10.0,9.0,9.0,9.0,8.0,7.0,8.0,8.0,10.0,10.0,10.0,8.0,8.0,8.0,4
ET_1__173__1,ET_1__173,2.0,4.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,8.0,8.0,8.0,8.0,1.0,1.0,1.0,6.0,7.0,7.0,4
CF_1__184__1,CF_1__184,2.0,1.0,1.0,1.0,1.0,9.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4
CF_4__187__1,CF_4__187,2.0,1.0,1.0,1.0,1.0,8.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,10.0,10.0,9.0,8.0,9.0,8.0,4
CF_5__188__1,CF_5__188,2.0,1.0,1.0,1.0,1.0,2.0,5.0,7.0,8.0,7.0,7.0,8.0,8.0,9.0,10.0,10.0,9.0,10.0,9.0,4
SSO__189__1,SSO__189,2.0,1.0,1.0,1.0,1.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,4
SKL__190__1,SKL__190,2.0,1.0,1.0,1.0,2.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,4
AWI__191__1,AWI__191,2.0,1.0,2.0,2.0,2.0,9.0,9.0,9.0,10.0,7.0,8.0,8.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,4
FBI__192__1,FBI__192,2.0,1.0,1.0,1.0,1.0,8.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,6.0,8.0,8.0,4
SWI__193__1,SWI__193,2.0,1.0,1.0,2.0,1.0,7.0,6.0,7.0,8.0,5.0,6.0,7.0,7.0,10.0,9.0,9.0,6.0,6.0,6.0,4
CFI__194__1,CFI__194,2.0,2.0,1.0,1.0,1.0,6.0,7.0,6.0,6.0,10.0,9.0,9.0,8.0,8.0,9.0,10.0,7.0,8.0,9.0,4
NWE__195__1,NWE__195,2.0,1.0,1.0,1.0,1.0,8.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,10.0,9.0,8.0,10.0,7.0,7.0,4
SHE__196__1,SHE__196,1.0,1.0,1.0,1.0,2.0,9.0,8.0,7.0,6.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,4
LTU__197__1,LTU__197,2.0,1.0,1.0,1.0,3.0,8.0,8.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,4
MPA__198__1,MPA__198,2.0,3.0,2.0,1.0,2.0,9.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,7.0,8.0,9.0,9.0,10.0,10.0,4
HBO__199__1,HBO__199,2.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,7.0,7.0,7.0,9.0,8.0,9.0,7.0,7.0,6.0,6.0,8.0,4
ATR__200__1,ATR__200,1.0,1.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,6.0,6.0,5.0,5.0,10.0,10.0,10.0,7.0,8.0,8.0,4
SHI__201__1,SHI__201,2.0,1.0,1.0,1.0,1.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,10.0,8.0,9.0,10.0,4
SPA__202__1,SPA__202,2.0,2.0,1.0,2.0,1.0,9.0,10.0,9.0,9.0,7.0,8.0,9.0,10.0,8.0,9.0,10.0,5.0,6.0,6.0,4
CDI__203__1,CDI__203,2.0,1.0,1.0,1.0,1.0,7.0,8.0,8.0,9.0,6.0,6.0,6.0,6.0,9.0,9.0,9.0,8.0,7.0,8.0,4
MSO__204__1,MSO__204,2.0,3.0,2.0,1.0,2.0,5.0,3.0,3.0,3.0,9.0,9.0,10.0,9.0,7.0,8.0,8.0,4.0,6.0,7.0,4
NBR__205__1,NBR__205,2.0,2.0,1.0,1.0,2.0,5.0,6.0,7.0,6.0,9.0,10.0,10.0,10.0,8.0,9.0,9.0,2.0,2.0,3.0,4
CWO__206__1,CWO__206,1.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,5.0,5.0,7.0,6.0,10.0,10.0,9.0,10.0,10.0,10.0,4
HSO__207__1,HSO__207,2.0,3.0,2.0,2.0,2.0,7.0,8.0,6.0,7.0,9.0,8.0,9.0,9.0,7.0,8.0,8.0,9.0,9.0,10.0,4
PVO__208__1,PVO__208,1.0,1.0,1.0,1.0,2.0,7.0,7.0,6.0,6.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,8.0,8.0,4
SL_1__223__1,SL_1__223,1.0,3.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,6.0,5.0,5.0,4
LM_1__225__1,LM_1__225,1.0,1.0,1.0,1.0,1.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,5.0,6.0,7.0,4
NS_1__227__1,NS_1__227,1.0,6.0,4.0,4.0,4.0,9.0,7.0,7.0,6.0,5.0,8.0,8.0,7.0,8.0,9.0,10.0,5.0,5.0,6.0,4
TK_1__228__1,TK_1__228,1.0,1.0,1.0,1.0,1.0,8.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,2.0,3.0,3.0,4
FM_1__229__1,FM_1__229,2.0,1.0,1.0,1.0,1.0,9.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,7.0,4
JB_1__231__1,JB_1__231,1.0,4.0,4.0,5.0,7.0,5.0,7.0,7.0,8.0,8.0,8.0,7.0,10.0,8.0,10.0,8.0,5.0,5.0,4.0,4
MF_1__233__1,MF_1__233,1.0,1.0,1.0,1.0,1.0,8.0,8.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,4.0,5.0,3.0,4
NZ_1__234__1,NZ_1__234,2.0,2.0,2.0,2.0,2.0,5.0,9.0,9.0,10.0,8.0,8.0,7.0,8.0,7.0,5.0,6.0,10.0,10.0,8.0,4
JR_1__235__1,JR_1__235,2.0,1.0,3.0,3.0,4.0,10.0,10.0,10.0,10.0,6.0,10.0,10.0,10.0,6.0,7.0,6.0,6.0,5.0,7.0,4
WK_1__236__1,WK_1__236,2.0,2.0,2.0,3.0,4.0,7.0,8.0,9.0,7.0,7.0,7.0,6.0,7.0,10.0,10.0,10.0,10.0,10.0,8.0,4
MK_1__237__1,MK_1__237,2.0,1.0,1.0,1.0,1.0,6.0,8.0,9.0,9.0,8.0,8.0,9.0,10.0,7.0,8.0,5.0,8.0,8.0,7.0,4
Ga96__245__1,Ga96__245,1.0,2.0,3.0,3.0,3.0,10.0,8.0,8.0,8.0,8.0,10.0,10.0,9.0,10.0,10.0,9.0,1.0,1.0,1.0,4
Ti89__246__1,Ti89__246,1.0,5.0,2.0,2.0,2.0,5.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0,4
Ri63__247__1,Ri63__247,2.0,1.0,1.0,1.0,1.0,10.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0,10.0,3.0,3.0,4
Ra63__248__1,Ra63__248,1.0,2.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,8.0,8.0,8.0,8.0,5.0,8.0,8.0,1.0,1.0,1.0,4
BS__248__1,BS__248,1.0,3.0,1.0,1.0,1.0,10.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,4
PB__250__1,PB__250,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,6.0,7.0,8.0,8.0,10.0,10.0,10.0,1.0,1.0,1.0,4
CB__251__1,CB__251,2.0,1.0,1.0,1.0,1.0,5.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,4
LB__252__1,LB__252,2.0,1.0,1.0,1.0,1.0,3.0,6.0,7.0,7.0,6.0,10.0,10.0,10.0,10.0,10.0,10.0,3.0,2.0,2.0,4
TK__253__1,TK__253,2.0,1.0,1.0,1.0,1.0,5.0,8.0,7.0,7.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,8.0,7.0,8.0,4
I1__254__1,I1__254,1.0,1.0,1.0,1.0,1.0,5.0,8.0,6.0,6.0,7.0,5.0,8.0,8.0,10.0,10.0,10.0,1.0,1.0,1.0,4
I3__256__1,I3__256,2.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,1.0,10.0,5.0,10.0,10.0,10.0,10.0,5.0,10.0,4
I4__257__1,I4__257,2.0,1.0,1.0,1.0,1.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,8.0,8.0,4.0,1.0,3.0,4
I5__258__1,I5__258,2.0,1.0,2.0,2.0,2.0,10.0,10.0,9.0,8.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,1.0,1.0,1.0,4
AK__259__1,AK__259,2.0,3.0,3.0,3.0,3.0,10.0,10.0,9.0,8.0,10.0,9.0,10.0,8.0,5.0,5.0,5.0,7.0,10.0,5.0,4
CR__260__1,CR__260,2.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,5.0,10.0,10.0,10.0,10.0,6.0,10.0,10.0,1.0,1.0,2.0,4
DK__261__1,DK__261,1.0,6.0,5.0,6.0,7.0,4.0,4.0,2.0,3.0,6.0,5.0,6.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,4
RR__263__1,RR__263,1.0,1.0,2.0,1.0,2.0,8.0,5.0,8.0,7.0,10.0,9.0,10.0,8.0,9.0,10.0,7.0,9.0,10.0,9.0,4
01_NP__264__1,01_NP__264,1.0,1.0,1.0,1.0,1.0,7.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,4
02_MK__265__1,02_MK__265,2.0,1.0,1.0,1.0,1.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,4
