Probanden_ID__lfdn__AppNr,Probanden_ID__lfdn,V2,V4_1_Interview,V4_2_Interview,V4_3_Interview,V4_4_Interview,V6_1_Interview,V6_2_Interview,V6_3_Interview,V6_4_Interview,V12_1_Interview,V12_2_Interview,V12_3_Interview,V12_4_Interview,V17_2_Interview,V17_3_Interview,V17_4_Interview,V18_2_Interview,V18_3_Interview,V18_4_Interview,Group
HL_4__92__10,HL_4__92,2.0,2.0,1.0,,,10.0,10.0,,,4.0,4.0,,,5.0,,,9.0,,,2
HL_1__89__11,HL_1__89,1.0,2.0,3.0,,,8.0,8.0,,,2.0,2.0,,,6.0,,,6.0,,,2
HL_2__90__11,HL_2__90,2.0,3.0,6.0,,,9.0,9.0,,,4.0,4.0,,,5.0,,,7.0,,,2
HL_3__91__11,HL_3__91,2.0,1.0,5.0,,,9.0,9.0,,,8.0,8.0,,,8.0,,,8.0,,,2
HL_4__92__11,HL_4__92,1.0,2.0,2.0,,,10.0,10.0,,,9.0,9.0,,,10.0,,,10.0,,,2
HL_1__89__12,HL_1__89,1.0,2.0,1.0,,,8.0,8.0,,,9.0,9.0,,,9.0,,,8.0,,,2
HL_2__90__12,HL_2__90,2.0,1.0,2.0,,,9.0,9.0,,,4.0,4.0,,,8.0,,,10.0,,,2
HL_3__91__12,HL_3__91,2.0,1.0,4.0,,,9.0,9.0,,,5.0,5.0,,,5.0,,,8.0,,,2
HL_4__92__12,HL_4__92,1.0,2.0,1.0,,,10.0,10.0,,,4.0,4.0,,,6.0,,,8.0,,,2
HL_1__89__13,HL_1__89,2.0,2.0,7.0,,,8.0,8.0,,,7.0,7.0,,,5.0,,,8.0,,,2
HL_2__90__13,HL_2__90,1.0,3.0,7.0,,,9.0,9.0,,,7.0,7.0,,,8.0,,,6.0,,,2
HL_3__91__13,HL_3__91,2.0,2.0,3.0,,,9.0,9.0,,,2.0,2.0,,,10.0,,,7.0,,,2
HL_4__92__13,HL_4__92,2.0,2.0,4.0,,,10.0,10.0,,,1.0,1.0,,,9.0,,,10.0,,,2
HL_1__89__14,HL_1__89,1.0,5.0,7.0,,,9.0,9.0,,,7.0,7.0,,,10.0,,,6.0,,,2
HL_2__90__14,HL_2__90,1.0,4.0,4.0,,,9.0,9.0,,,9.0,9.0,,,8.0,,,9.0,,,2
HL_3__91__14,HL_3__91,2.0,3.0,6.0,,,9.0,9.0,,,4.0,4.0,,,10.0,,,6.0,,,2
HL_1__89__15,HL_1__89,1.0,5.0,3.0,,,8.0,8.0,,,1.0,1.0,,,10.0,,,9.0,,,2
HL_2__90__15,HL_2__90,2.0,4.0,7.0,,,9.0,9.0,,,6.0,6.0,,,5.0,,,7.0,,,2
HL_3__91__15,HL_3__91,1.0,3.0,2.0,,,9.0,9.0,,,10.0,10.0,,,8.0,,,7.0,,,2
Kl911__143__16,Kl911__143,1.0,3.0,7.0,,,6.0,5.0,,,9.0,7.0,,,2.0,,,,,,2
